query,engine,limit,execution_time,nb_calls,nb_results,loading_time,resume_time,workload
S6,baseline,10,0.13959932327270508,5,987,2.7048110961914062,0.03948211669921875,watdiv
S6,baseline,20,0.11439800262451172,5,987,2.043437957763672,0.03833770751953125,watdiv
S6,orderbyone,1,0.1668400764465332,3,200,12.862126032511393,0.04172325134277344,watdiv
S6,orderbyone,10,0.16255807876586914,3,200,12.13375727335612,0.038623809814453125,watdiv
S6,orderbyone,20,0.1710491180419922,3,200,12.787342071533203,0.042597452799479164,watdiv
L4,orderby,1,1.7102689743041992,19,1,10.726828324167352,0.05512488515753495,watdiv
L4,orderby,10,8.968175888061523,100,10,8.769550323486328,0.07523298263549805,watdiv
L4,orderby,20,23.375760078430176,260,20,9.21031878544734,0.10777803567739633,watdiv
L4,baseline,1,2.946397066116333,71,14184,0.5282583371014662,0.035675478653169015,watdiv
L4,baseline,10,2.9633331298828125,71,14184,0.5161829397711956,0.037341050698723594,watdiv
L4,baseline,20,3.265608072280884,71,14184,0.5515629137066048,0.0398192607181173,watdiv
L4,orderbyone,1,1.7174220085144043,18,202,15.521804491678873,0.0764926274617513,watdiv
L4,orderbyone,10,1.089083194732666,13,220,9.958854088416466,0.07567038902869591,watdiv
L4,orderbyone,20,1.077765941619873,12,286,10.769347349802652,0.0538031260172526,watdiv
S2,orderby,1,0.9645688533782959,11,1,11.472376910122959,0.0629425048828125,watdiv
S2,orderby,10,1.5297672748565674,16,10,14.253899455070496,0.10351836681365967,watdiv
S2,orderby,20,1.6557650566101074,18,20,11.790725919935438,0.12991163465711805,watdiv
S2,baseline,1,0.8815097808837891,10,1033,3.4912824630737305,0.06968975067138672,watdiv
S2,baseline,10,0.7818081378936768,9,1033,3.5034815470377603,0.05870395236545139,watdiv
S2,baseline,20,0.913719892501831,11,1033,3.634929656982422,0.06612864407626065,watdiv
S2,orderbyone,1,1.2502148151397705,13,85,16.865088389470028,0.09270814748910758,watdiv
S2,orderbyone,10,1.0884459018707275,12,90,13.672848542531332,0.0726183255513509,watdiv
S2,orderbyone,20,1.0094540119171143,11,98,12.571096420288086,0.08303468877618964,watdiv
L5,orderby,1,25.270741939544678,280,1,9.752075161252703,0.06858280726841517,watdiv
L5,orderby,10,32.84925174713135,368,10,8.626902232999386,0.08966287840967593,watdiv
L5,orderby,20,45.412729263305664,505,20,9.043975867847404,0.12074461077699566,watdiv
L5,baseline,1,22.495054006576538,218,28315,0.3671547688475443,0.05755293259926892,watdiv
L5,baseline,10,21.76742196083069,206,28315,0.35810354843880365,0.057933399978193266,watdiv
L5,baseline,20,22.429330110549927,216,28315,0.36486321025424534,0.057392650180392794,watdiv
L5,orderbyone,1,20.987184047698975,235,209,8.780526100321019,0.06058672641186004,watdiv
L5,orderbyone,10,21.793111085891724,241,236,9.213716657329892,0.0627901544214779,watdiv
L5,orderbyone,20,21.35994815826416,237,293,8.8287124150916,0.06101503653868341,watdiv
S3,orderby,1,0.12482571601867676,2,1,15.802979469299316,0.0400543212890625,watdiv
S3,orderby,10,0.24094200134277344,3,10,15.21444320678711,0.07994969685872395,watdiv
S3,orderby,20,0.35943174362182617,4,20,13.174593448638916,0.11795759201049805,watdiv
S3,baseline,1,0.09534907341003418,2,341,5.833983421325684,0.033855438232421875,watdiv
S3,baseline,10,0.09342694282531738,2,341,6.685376167297363,0.03707408905029297,watdiv
S3,baseline,20,0.08829212188720703,2,341,5.331993103027344,0.041484832763671875,watdiv
S3,orderbyone,1,0.1180107593536377,2,200,16.837120056152344,0.039577484130859375,watdiv
S3,orderbyone,10,0.11286807060241699,2,200,15.866637229919434,0.03719329833984375,watdiv
S3,orderbyone,20,0.11224722862243652,2,200,15.756011009216309,0.03790855407714844,watdiv
C2,orderby,1,5.560092926025391,61,1,10.194790167886703,0.1509893135946305,watdiv
C2,orderby,10,5.680041313171387,62,10,10.518300917840772,0.20679350822202622,watdiv
C2,orderby,20,5.505766868591309,59,20,10.649446713722359,0.24678343433444783,watdiv
C2,baseline,1,4.827851057052612,59,92,1.2323492664401814,0.12900465625827595,watdiv
C2,baseline,10,5.168554067611694,63,92,1.240049089704241,0.14447787451365637,watdiv
C2,baseline,20,4.792398929595947,58,92,1.177882326060328,0.1296298257235823,watdiv
C2,orderbyone,1,5.57945990562439,60,12,10.70495049158732,0.15033880869547525,watdiv
C2,orderbyone,10,6.390368938446045,68,21,11.372012250563678,0.1717385123757755,watdiv
C2,orderbyone,20,6.0999767780303955,65,21,11.060523986816406,0.15993851881760818,watdiv
F3,orderby,1,0.8715701103210449,10,1,10.21130084991455,0.07662773132324219,watdiv
F3,orderby,10,2.298600196838379,25,10,10.318489074707031,0.11468887329101562,watdiv
F3,orderby,20,4.492792844772339,49,20,10.268036200075734,0.1612196163255341,watdiv
F3,baseline,1,0.9085490703582764,13,2596,1.6399346865140474,0.0694898458627554,watdiv
F3,baseline,10,0.9844269752502441,13,2596,1.8871930929330678,0.07732097919170673,watdiv
F3,baseline,20,0.944725751876831,13,2596,1.7969608306884766,0.07539529066819411,watdiv
F3,orderbyone,1,0.771327018737793,9,200,10.304609934488932,0.07865164015028211,watdiv
F3,orderbyone,10,0.7928340435028076,9,200,10.824229982164171,0.07674429151746961,watdiv
F3,orderbyone,20,0.8578898906707764,10,200,11.14048957824707,0.08122920989990234,watdiv
L1,orderby,1,3.0735812187194824,34,1,9.50309809516458,0.06269006168141085,watdiv
L1,orderby,10,14.193678855895996,158,10,9.1772004018856,0.08891654919974412,watdiv
L1,orderby,20,28.186306715011597,312,20,8.948170985931005,0.11616945266723633,watdiv
