execution_time,data_transfer,http_calls,solutions,resuming_time,saving_time,query,run,limit,quota,approach,workload,xp
351.2036800384521,4725486.0,2,10000,4.282951354980469,0.1156330108642578,L4,2,10000,10000,sage,watdiv,stateless
318.7973499298096,4725486.0,2,10000,4.056453704833984,0.1180171966552734,L4,3,10000,10000,sage,watdiv,stateless
6225.605010986328,28727777.0,51,10,110.90636253356934,12.03632354736328,F5,1,10,100,sage,watdiv,stateless
6124.375343322754,28738393.0,51,10,110.97860336303712,11.529207229614258,F5,2,10,100,sage,watdiv,stateless
6196.293354034424,28728824.0,51,10,110.45527458190918,10.856151580810549,F5,3,10,100,sage,watdiv,stateless
5814.496040344238,28379842.0,11,10,28.9301872253418,2.898693084716797,F5,1,10,500,sage,watdiv,stateless
5681.445837020874,28372840.0,10,10,27.549028396606445,2.402782440185547,F5,2,10,500,sage,watdiv,stateless
5670.84002494812,28372578.0,10,10,24.042844772338867,2.4404525756835938,F5,3,10,500,sage,watdiv,stateless
5573.276996612549,28330618.0,5,10,84.85531806945801,1.091718673706055,F5,1,10,1000,sage,watdiv,stateless
5625.596046447754,28335201.0,5,10,14.148712158203123,1.1012554168701172,F5,2,10,1000,sage,watdiv,stateless
5663.82908821106,28331770.0,5,10,13.149261474609377,1.1529922485351562,F5,3,10,1000,sage,watdiv,stateless
5613.577604293823,28341156.0,5,10,14.315366744995115,1.4238357543945312,F5,1,10,10000,sage,watdiv,stateless
5565.488338470459,28341173.0,5,10,14.858722686767578,1.152753829956055,F5,2,10,10000,sage,watdiv,stateless
5665.35758972168,28341175.0,5,10,14.757156372070312,1.1336803436279297,F5,3,10,10000,sage,watdiv,stateless
6248.581886291504,28735884.0,51,100,114.07899856567384,13.204574584960938,F5,1,100,100,sage,watdiv,stateless
6185.613393783569,28753231.0,51,100,114.94874954223631,13.565540313720703,F5,2,100,100,sage,watdiv,stateless
6157.185077667236,28729930.0,51,100,113.1765842437744,12.068510055541992,F5,3,100,100,sage,watdiv,stateless
5791.117668151856,28384921.0,11,100,29.834985733032227,2.9332637786865234,F5,1,100,500,sage,watdiv,stateless
5709.607124328613,28373467.0,10,100,60.250282287597656,2.34222412109375,F5,2,100,500,sage,watdiv,stateless
5764.843225479126,28385135.0,11,100,28.515100479125977,2.758502960205078,F5,3,100,500,sage,watdiv,stateless
5660.537004470825,28327510.0,5,100,13.602733612060549,1.0921955108642578,F5,1,100,1000,sage,watdiv,stateless
5700.3173828125,28331475.0,5,100,14.461755752563477,1.222848892211914,F5,2,100,1000,sage,watdiv,stateless
5671.336889266968,28325029.0,5,100,13.703346252441406,1.232624053955078,F5,3,100,1000,sage,watdiv,stateless
5670.055150985718,28341174.0,5,100,14.632463455200195,1.3279914855957031,F5,1,100,10000,sage,watdiv,stateless
5607.749700546265,28341177.0,5,100,14.20903205871582,1.222372055053711,F5,2,100,10000,sage,watdiv,stateless
5606.379508972168,28341173.0,5,100,13.755321502685549,1.0852813720703125,F5,3,100,10000,sage,watdiv,stateless
6283.595561981201,28714174.0,51,1000,114.35294151306152,12.145519256591797,F5,1,1000,100,sage,watdiv,stateless
6229.337692260742,28692695.0,50,1000,112.33973503112792,12.943267822265623,F5,2,1000,100,sage,watdiv,stateless
6279.157638549805,28725354.0,51,1000,112.78128623962402,11.98720932006836,F5,3,1000,100,sage,watdiv,stateless
5719.769239425659,28371615.0,10,1000,23.981809616088867,2.3124217987060547,F5,1,1000,500,sage,watdiv,stateless
5788.4368896484375,28362779.0,10,1000,23.343324661254883,2.387523651123047,F5,2,1000,500,sage,watdiv,stateless
5673.824310302734,28376536.0,10,1000,23.643970489501957,2.2890567779541016,F5,3,1000,500,sage,watdiv,stateless
5594.371318817139,28328114.0,5,1000,14.017581939697266,0.9989738464355468,F5,1,1000,1000,sage,watdiv,stateless
5611.398935317993,28329611.0,5,1000,12.999773025512695,1.069784164428711,F5,2,1000,1000,sage,watdiv,stateless
5755.2525997161865,28340388.0,6,1000,16.529083251953125,1.3630390167236328,F5,3,1000,1000,sage,watdiv,stateless
5728.108644485474,28341169.0,5,1000,15.69819450378418,1.2652873992919922,F5,1,1000,10000,sage,watdiv,stateless
5723.098516464233,28341174.0,5,1000,14.110326766967772,1.1677742004394531,F5,2,1000,10000,sage,watdiv,stateless
5809.478044509888,28341173.0,5,1000,14.311790466308594,1.5757083892822266,F5,3,1000,10000,sage,watdiv,stateless
6676.172971725464,28723545.0,51,10000,113.31939697265624,12.539386749267578,F5,1,10000,100,sage,watdiv,stateless
6594.4366455078125,28711743.0,50,10000,109.33971405029295,12.218236923217772,F5,2,10000,100,sage,watdiv,stateless
6740.946769714356,28708148.0,51,10000,112.26129531860352,12.647151947021484,F5,3,10000,100,sage,watdiv,stateless
6132.913112640381,28374768.0,10,10000,23.97322654724121,2.480745315551758,F5,1,10000,500,sage,watdiv,stateless
6021.1732387542725,28371395.0,10,10000,24.74451065063477,2.613544464111328,F5,2,10000,500,sage,watdiv,stateless
6053.45606803894,28371308.0,10,10000,24.343490600585938,2.4709701538085938,F5,3,10000,500,sage,watdiv,stateless
5922.287940979004,28332243.0,5,10000,13.560771942138672,1.1162757873535156,F5,1,10000,1000,sage,watdiv,stateless
5943.049669265747,28330389.0,5,10000,13.47208023071289,1.0769367218017578,F5,2,10000,1000,sage,watdiv,stateless
6040.167570114136,28334850.0,5,10000,14.10531997680664,1.2166500091552734,F5,3,10000,1000,sage,watdiv,stateless
5859.849452972412,28341174.0,5,10000,13.734102249145508,1.1649131774902344,F5,1,10000,10000,sage,watdiv,stateless
5885.221719741821,28341178.0,5,10000,13.407468795776367,1.1649131774902344,F5,2,10000,10000,sage,watdiv,stateless
5843.680143356323,28341176.0,5,10000,13.440608978271484,1.021623611450195,F5,3,10000,10000,sage,watdiv,stateless
4972.211837768555,42652951.0,33,10,84.44738388061523,3.774404525756836,L3,1,10,100,sage,watdiv,stateless
4740.111827850342,42654114.0,33,10,83.75787734985352,3.395557403564453,L3,2,10,100,sage,watdiv,stateless
4913.331508636475,42657399.0,33,10,85.39509773254395,3.9162635803222656,L3,3,10,100,sage,watdiv,stateless
4596.588373184204,42616527.0,18,10,49.18146133422852,2.234220504760742,L3,1,10,500,sage,watdiv,stateless
4559.597730636597,42616527.0,18,10,46.07105255126953,2.0482540130615234,L3,2,10,500,sage,watdiv,stateless
4530.831813812256,42616531.0,18,10,43.99824142456055,2.0294189453125,L3,3,10,500,sage,watdiv,stateless
4551.995515823364,42616544.0,18,10,46.34547233581543,2.2470951080322266,L3,1,10,1000,sage,watdiv,stateless
4867.647886276245,42616551.0,18,10,46.54765129089356,2.0093917846679688,L3,2,10,1000,sage,watdiv,stateless
4612.221002578735,42616549.0,18,10,45.45021057128906,1.997709274291992,L3,3,10,1000,sage,watdiv,stateless
4625.267028808594,42616567.0,18,10,47.06740379333496,1.7986297607421875,L3,1,10,10000,sage,watdiv,stateless
4617.761135101318,42616572.0,18,10,45.32742500305176,1.99127197265625,L3,2,10,10000,sage,watdiv,stateless
4605.149269104004,42616565.0,18,10,49.29780960083008,2.092599868774414,L3,3,10,10000,sage,watdiv,stateless
4734.646797180176,42655868.0,33,100,86.89427375793457,3.9818286895751953,L3,1,100,100,sage,watdiv,stateless
